3:1|29:1,2:1,30:1,31:1,32:1
3:49|11:103,11:86,16:11,16:13,16:65,16:67,16:69,17:4,27:52,2:248,34:9,5:110,7:105,7:85
3:50|5:46,5:48,61:6
3:51|19:36,43:64
3:52|61:14
3:54|8:30
3:55|16:92,22:69,5:110,5:116,5:48,6:164
3:56|16:37,29:25,30:29,45:34,9:74
3:57|103:3,10:4,10:9,11:23,13:29,14:23,18:107,18:30,19:96,22:14,22:23,22:50,22:56,26:227,29:58,29:7,29:9,2:25,2:277,2:82,30:15,30:45,31:8,32:19,34:4,35:7,38:24,38:28,40:58,41:8,42:22,42:23,42:26,45:21,45:30,47:12,47:2,48:29,4:122,4:173,4:57,5:9,5:93,65:11,7:42,84:25,85:11,95:6,98:7
3:59|16:40,19:35,2:117,36:82,40:68
3:60|10:94,28:86,2:147,6:114
3:61|2:145
3:62|37:35,38:65,47:19,5:73
3:64|10:106,10:18,10:38,11:101,11:113,11:13,11:20,13:36,16:20,16:73,21:66,22:12,22:71,22:73,25:55,29:17,29:22,2:107,2:23,34:22,39:38,42:31,42:46,46:5,4:119,5:116,5:59,5:68,5:76,5:77,6:71,9:116,9:31
3:65|4:171,5:15,5:19,5:59,5:68,5:77
3:66|11:46,11:47,16:74,17:36,22:71,24:15,24:19,29:8,2:216,2:232,31:15,40:42
3:67|12:108,16:123,2:135,6:161,6:79
3:69|2:105,2:109,2:9,33:26,4:113,4:159,59:11,59:2,6:123,6:26
3:70|4:171,5:15,5:19,5:59,5:68,5:77
3:71|2:42,4:171,5:15,5:19,5:59,5:68,5:77
3:72|5:65
3:73|2:247,2:261,57:21,57:29,5:54,62:4
3:74|2:105,57:21,57:29,62:4,8:29
3:75|10:60,33:26,59:2,61:7
3:76|9:4,9:7
3:77|11:16,2:174
3:78|10:60,2:79,30:29,41:52,4:78,61:7
3:79|10:104,10:37,11:113,11:20,22:73,27:24,29:22,2:107,33:17,42:31,42:46,4:119,4:123,4:173,53:58,6:70,71:25,9:116,9:16
3:82|24:55,63:9
3:83|10:101,13:15,27:65
3:84|2:136,2:140,2:285,4:163,5:59
3:85|5:5
3:86|16:107,28:50,2:258,2:264,46:10,5:108,5:51,5:67,61:5,61:7,62:5,63:6,6:144,9:109,9:19,9:24,9:37,9:80
3:87|2:161
3:88|2:162,2:86,43:50
3:89|16:115,16:119,24:5,24:62,2:173,2:182,2:192,2:199,2:226,49:14,58:12,5:3,5:34,5:39,5:98,60:12,64:14,73:20,8:69,9:102,9:5,9:99
3:90|4:137
3:91|16:37,29:23,29:25,2:161,30:29,42:42,45:34,47:34
3:92|2:215,2:272,2:273,4:127,8:41,8:60
3:94|10:17,10:69,11:18,16:116,18:15,24:55,29:68,61:7,6:144,6:21,6:93,7:37
3:95|12:108,16:123,2:135,6:161,6:79
3:97|29:6,31:12,39:7
3:98|10:46,4:171,5:15,5:19,5:59,5:68,5:77
